2018-05-16 14:06:19.833031	start
2018-05-16 14:06:21.833837	Raise left hand
2018-05-16 14:06:25.834287	end
2018-05-16 14:06:29.835532	Raise left hand
2018-05-16 14:06:33.836254	end
2018-05-16 14:06:37.837258	Raise left hand
2018-05-16 14:06:41.837970	end
2018-05-16 14:06:45.838707	Raise right hand
2018-05-16 14:06:49.839848	end
2018-05-16 14:06:53.840950	Raise right hand
2018-05-16 14:06:57.842072	end
2018-05-16 14:07:01.842939	Raise left hand
2018-05-16 14:07:05.844065	end
2018-05-16 14:07:09.844474	Raise right hand
2018-05-16 14:07:13.844894	end
2018-05-16 14:07:17.845148	Raise left hand
2018-05-16 14:07:21.845940	end
2018-05-16 14:07:25.846312	Raise left hand
2018-05-16 14:07:29.846643	end
2018-05-16 14:07:33.846915	Raise left hand
2018-05-16 14:07:37.847984	end
2018-05-16 14:07:41.848464	Raise left hand
2018-05-16 14:07:45.849591	end
2018-05-16 14:07:49.849940	Raise right hand
2018-05-16 14:07:53.850316	end
2018-05-16 14:07:57.850985	Raise left hand
2018-05-16 14:08:01.851387	end
2018-05-16 14:08:05.851686	Raise right hand
2018-05-16 14:08:09.852057	end
2018-05-16 14:08:13.852404	Raise left hand
2018-05-16 14:08:17.853414	end
2018-05-16 14:08:21.854013	Raise left hand
2018-05-16 14:08:25.854345	end
2018-05-16 14:08:29.855210	Raise right hand
2018-05-16 14:08:33.856218	end
2018-05-16 14:08:37.857246	Raise left hand
2018-05-16 14:08:41.858045	end
2018-05-16 14:08:45.859023	Raise left hand
2018-05-16 14:08:49.859732	end
2018-05-16 14:08:53.860913	Raise right hand
2018-05-16 14:08:57.861978	end
2018-05-16 14:09:01.862333	Raise left hand
2018-05-16 14:09:05.862932	end
2018-05-16 14:09:09.863320	Raise left hand
2018-05-16 14:09:13.863778	end
2018-05-16 14:09:17.864878	Raise right hand
2018-05-16 14:09:21.865893	end
2018-05-16 14:09:25.867137	Raise left hand
2018-05-16 14:09:29.867771	end
