2018-05-26 11:27:47.014785	start
2018-05-26 11:27:49.014785	Raise left hand
2018-05-26 11:27:53.014785	end
2018-05-26 11:27:57.014785	Raise left hand
2018-05-26 11:28:01.014785	end
2018-05-26 11:28:05.014785	Raise right hand
2018-05-26 11:28:09.014785	end
2018-05-26 11:28:13.014785	Raise right hand
2018-05-26 11:28:17.014785	end
2018-05-26 11:28:21.014785	Raise left hand
2018-05-26 11:28:25.014785	end
2018-05-26 11:28:29.014785	Raise left hand
2018-05-26 11:28:33.014785	end
2018-05-26 11:28:37.014785	Raise right hand
2018-05-26 11:28:41.014785	end
2018-05-26 11:28:45.014785	Raise left hand
2018-05-26 11:28:49.014785	end
2018-05-26 11:28:53.014785	Raise right hand
2018-05-26 11:28:57.014785	end
2018-05-26 11:29:01.014785	Raise right hand
2018-05-26 11:29:05.014785	end
2018-05-26 11:29:09.014785	Raise right hand
2018-05-26 11:29:13.014785	end
2018-05-26 11:29:17.014785	Raise left hand
2018-05-26 11:29:21.014785	end
2018-05-26 11:29:25.014785	Raise right hand
2018-05-26 11:29:29.014785	end
2018-05-26 11:29:33.014785	Raise left hand
2018-05-26 11:29:37.014785	end
2018-05-26 11:29:41.014785	Raise right hand
2018-05-26 11:29:45.014785	end
2018-05-26 11:29:49.014785	Raise right hand
2018-05-26 11:29:53.014785	end
2018-05-26 11:29:57.014785	Raise right hand
2018-05-26 11:30:01.014785	end
2018-05-26 11:30:05.014785	Raise left hand
2018-05-26 11:30:09.014785	end
2018-05-26 11:30:13.014785	Raise left hand
2018-05-26 11:30:17.014785	end
2018-05-26 11:30:21.014785	Raise right hand
2018-05-26 11:30:25.014785	end
2018-05-26 11:30:29.014785	Raise right hand
2018-05-26 11:30:33.014785	end
2018-05-26 11:30:37.014785	Raise left hand
2018-05-26 11:30:41.014785	end
2018-05-26 11:30:45.014785	Raise left hand
2018-05-26 11:30:49.014785	end
2018-05-26 11:30:53.014785	Raise right hand
2018-05-26 11:30:57.014785	end
