2018-05-26 11:13:08.376182	start
2018-05-26 11:13:10.376182	Raise left hand
2018-05-26 11:13:14.376182	end
2018-05-26 11:13:18.376182	Raise right hand
2018-05-26 11:13:22.376182	end
2018-05-26 11:13:26.376182	Raise right hand
2018-05-26 11:13:30.376182	end
2018-05-26 11:13:34.376182	Raise right hand
2018-05-26 11:13:38.376182	end
2018-05-26 11:13:42.376182	Raise right hand
2018-05-26 11:13:46.376182	end
2018-05-26 11:13:50.376182	Raise right hand
2018-05-26 11:13:54.376182	end
2018-05-26 11:13:58.376182	Raise right hand
2018-05-26 11:14:02.376182	end
2018-05-26 11:14:06.376182	Raise right hand
2018-05-26 11:14:10.376182	end
2018-05-26 11:14:14.376182	Raise left hand
2018-05-26 11:14:18.376182	end
2018-05-26 11:14:22.376182	Raise right hand
2018-05-26 11:14:26.376182	end
2018-05-26 11:14:30.376182	Raise left hand
2018-05-26 11:14:34.376182	end
2018-05-26 11:14:38.376182	Raise left hand
2018-05-26 11:14:42.376182	end
2018-05-26 11:14:46.376182	Raise left hand
2018-05-26 11:14:50.376182	end
2018-05-26 11:14:54.376182	Raise left hand
2018-05-26 11:14:58.376182	end
2018-05-26 11:15:02.376182	Raise right hand
2018-05-26 11:15:06.376182	end
2018-05-26 11:15:10.376182	Raise left hand
2018-05-26 11:15:14.376182	end
2018-05-26 11:15:18.376182	Raise right hand
2018-05-26 11:15:22.376182	end
2018-05-26 11:15:26.376182	Raise right hand
2018-05-26 11:15:30.376182	end
2018-05-26 11:15:34.376182	Raise left hand
2018-05-26 11:15:38.376182	end
2018-05-26 11:15:42.376182	Raise right hand
2018-05-26 11:15:46.376182	end
2018-05-26 11:15:50.376182	Raise right hand
2018-05-26 11:15:54.376182	end
2018-05-26 11:15:58.376182	Raise left hand
2018-05-26 11:16:02.376182	end
2018-05-26 11:16:06.376182	Raise left hand
2018-05-26 11:16:10.376182	end
2018-05-26 11:16:14.376182	Raise right hand
2018-05-26 11:16:18.376182	end
